controllerid,count,index,nasid,position,pwr,ts
1 2 3 4,4,32.0,4589,center,-59.86702127659574 -40.78561354019746 -76.34037558685446 -80.19540229885058,17:05
1 2 3 4,4,33.0,4589,center,-60.854043392504934 -41.72898799313894 -77.18060200668896 -79.80952380952381,17:06
1 2 3 4,4,34.0,4589,center,-58.38704318936877 -42.323577235772355 -77.16621253405995 -79.78787878787878,17:07
1 2 3 4,4,35.0,4589,center,-58.08032786885246 -42.541935483870965 -76.22820512820513 -79.64935064935065,17:08
1 2 3 4,4,36.0,4589,center,-58.7347294938918 -47.63258232235702 -77.13850415512465 -80.9,17:09
1 2 3 4,4,37.0,4589,center,-56.884676145339654 -48.48776508972268 -79.18153846153847 -79.57446808510639,17:10
1 2 3 4,4,38.0,4589,center,-56.02321428571429 -49.11584327086882 -79.76258992805755 -80.41304347826087,17:11
1 2 3 4,4,39.0,4589,center,-56.91637630662021 -47.81509433962264 -76.9304347826087 -79.01234567901234,17:12
1 2 3 4,4,40.0,4589,center,-57.58201058201058 -49.71771217712177 -78.25348189415041 -79.3,17:13
1 2 3 4,4,41.0,4589,center,-57.75282714054927 -51.99201277955272 -77.83667621776505 -79.25984251968504,17:14
1 2 3 4,4,42.0,4589,center,-54.786856127886324 -53.92421441774491 -80.09130434782608 -77.25842696629213,17:15
1 2 3 4,4,43.0,4589,center,-53.968810916179336 -54.92693110647182 -80.25735294117646 -75.97413793103448,17:16
1 2 3 4,4,44.0,4589,center,-54.56561922365989 -55.248543689320385 -78.53731343283582 -75.48387096774194,17:17
1 2 3 4,4,45.0,4589,center,-53.4271523178808 -56.294520547945204 -79.66532258064517 -76.3780487804878,17:18
1 2 3 4,4,46.0,4589,center,-52.45739130434782 -57.69786535303777 -79.49019607843137 -73.17808219178082,17:19
1 2 3 4,4,47.0,4589,center,-49.845217391304345 -58.38120567375886 -80.54597701149426 -73.76061776061776,17:20
1 2 3 4,4,48.0,4589,center,-49.6304 -60.66129032258065 -79.98726114649682 -74.12040133779264,17:21
1 2 3 4,4,49.0,4589,center,-47.6964586846543 -60.35341365461847 -79.30065359477125 -75.34948096885813,17:22
1 2 3 4,4,50.0,4589,center,-46.40949033391916 -61.91593695271454 -80.18118466898954 -73.81470588235294,17:23
1 2 3 4,4,51.0,4589,center,-47.33617747440273 -61.94280442804428 -79.99581589958159 -73.84713375796179,17:24
1 2 3 4,4,52.0,4589,center,-43.94969512195122 -62.8109756097561 -79.9404255319149 -72.04531722054381,17:25
1 2 3 4,4,53.0,4589,center,-43.35609756097561 -62.545126353790614 -78.91197183098592 -71.52295918367346,17:26
1 2 3 4,4,1.0,4589,center,-48.37352245862884 -66.60724233983287 -79.49838187702265 -70.09814323607426,18:31
1 2 3 4,4,2.0,4589,center,-50.973753280839894 -66.49560117302053 -78.93436293436294 -68.44252873563218,18:32
1 2 3 4,4,3.0,4589,center,-52.86322188449848 -65.8475073313783 -78.47962382445141 -67.5934065934066,18:33
1 2 3 4,4,4.0,4589,center,-58.119804400978 -65.76857142857143 -77.47348484848484 -68.14814814814815,18:34
1 2 3 4,4,5.0,4589,center,-56.3218085106383 -63.714285714285715 -76.56989247311827 -70.3840579710145,18:35
1 2 3 4,4,6.0,4589,center,-58.73095238095238 -63.220873786407765 -76.40366972477064 -73.29102167182663,18:36
1 2 3 4,4,7.0,4589,center,-59.205607476635514 -64.18905472636816 -77.88615384615385 -73.06692913385827,18:37
1 2 3 4,4,8.0,4589,center,-58.12568306010929 -61.13853904282116 -76.08479532163743 -72.94047619047619,18:38
1 2 3 4,4,9.0,4589,center,-61.48117154811715 -60.84331797235023 -77.00454545454545 -76.03333333333333,18:39
1 2 3 4,4,10.0,4589,center,-63.957264957264954 -57.12643678160919 -76.12068965517241 -74.75,18:40
1 2 3 4,4,11.0,4589,center,-64.45217391304348 -58.20454545454545 -73.65454545454546 -76.15555555555555,18:41
1 2 3 4,4,12.0,4589,center,-65.37383177570094 -54.54929577464789 -73.31404958677686 -76.33333333333333,18:42
1 2 3 4,4,13.0,4589,center,-66.63366336633663 -53.44 -73.80898876404494 -78.9090909090909,18:43
1 2 3 4,4,14.0,4589,center,-68.27368421052631 -54.18390804597701 -71.81132075471699 -78.57142857142857,18:44
1 2 3 4,4,15.0,4589,center,-68.592 -56.398305084745765 -69.94573643410853 -79.0,18:45
1 2 3 4,4,16.0,4589,center,-69.77777777777777 -47.99130434782609 -70.94949494949495 -78.8,18:46
1 2 3 4,4,17.0,4589,center,-69.7517730496454 -45.121212121212125 -71.42105263157895 -82.71428571428571,18:47
1 2 3 4,4,18.0,4589,center,-61.13636363636363 -39.91836734693877 -74.0 -79.68181818181819,18:48
